"game_id","team","opponent","h/a","l8_sa","l8_sog","l8_miss","l8_blocks","l4_sa","l4_sog","l4_miss","l4_blocks","ha_sa","ha_sog","ha_miss","ha_blocks","l8_sa_ag","l8_sog_ag","l8_miss_ag","l8_blocks_ag","l4_sa_ag","l4_sog_ag","l4_miss_ag","l4_blocks_ag","ha_sa_ag","ha_sog_ag","ha_miss_ag","ha_blocks_ag","is_b2b","opp_is_b2b","true_sog"
2025020181,"CAR","BOS","home",68.625,32.375,16.125,20.125,66,29.25,17.5,19.25,72,32.5,21,18.5,65,31.125,16.25,17.625,66.5,32.75,16.25,17.5,70.8,32.2,17,21.6,0,0,29
2025020182,"PIT","WPG","home",53.75,26.625,12.75,14.375,55.25,29.25,11.5,14.5,55.4,26,13.2,16.2,62.125,29.125,16.125,16.875,64.5,31,16.75,16.75,66.5,30,17,19.5,0,0,30
2025020183,"CGY","NSH","home",64,29.75,13,21.25,61,30.25,10.75,20,67.8,31.6,15.8,20.4,56.375,29.25,14.875,12.25,58,31.5,15.25,11.25,53.6,26.4,14.8,12.4,0,0,35
2025020184,"COL","SJS","home",73,35,17.25,20.75,68.25,31.25,16.25,20.75,76.8,38.8,17.6,20.4,59.375,27.875,14.25,17.25,61.5,26.75,14,20.75,64.6,30.2,17.6,16.8,1,0,39
2025020185,"DAL","FLA","home",50,25.75,11.875,12.375,49.25,25.5,11.75,12,52.5,27.1666666666667,11.6666666666667,13.6666666666667,57,24.5,15.875,16.625,53,21.25,15.25,16.5,61.4,28.4,16,17,0,0,22
2025020186,"WSH","BUF","home",64.375,28.5,16.625,19.25,55,22.5,14.5,18,68.8571428571429,30,17.2857142857143,21.5714285714286,67.875,31.25,16.625,20,63.75,29.5,14.75,19.5,58.75,27,16.25,15.5,1,0,34
2025020187,"OTT","MTL","home",58.375,28.5,14.125,15.75,57.75,29.75,15.75,12.25,59.5714285714286,28.8571428571429,14.4285714285714,16.2857142857143,60.75,26.625,15,19.125,63,29.5,14.25,19.25,58,28.2857142857143,12.8571428571429,16.8571428571429,0,0,17
2025020188,"TOR","PHI","home",59.5,29.625,13.75,16.125,63,32.5,13.5,17,57.625,29.25,13,15.375,54.75,25.5,12.5,16.75,62.5,31,12.75,18.75,69,35.3333333333333,16.6666666666667,17,0,0,27
2025020189,"STL","CBJ","home",55.25,25.5,13.875,15.875,63.25,29.5,14.75,19,53.2857142857143,24.7142857142857,13.7142857142857,14.8571428571429,62.125,31,15.625,15.5,64,34.25,14.25,15.5,64.8,35.6,14.4,14.8,0,0,39
2025020190,"VAN","MIN","home",56.25,25.125,16.75,14.375,57,24.75,16.5,15.75,57.6,27.2,16.6,13.8,60,30.75,13.25,16,53.5,30.25,11.25,12,63.1666666666667,29.3333333333333,14.6666666666667,19.1666666666667,0,0,28
2025020191,"NJD","LAK","home",63.75,30,14.125,19.625,64.5,28.5,14.25,21.75,63.8,28.8,15.8,19.2,57.375,29.75,12.125,15.5,57.5,30.75,11.5,15.25,57.5,29.75,12.5,15.25,0,0,22
2025020192,"CHI","EDM","home",50.375,25.5,14.125,10.75,50.75,24.5,14,12.25,48,24.6666666666667,12.8333333333333,10.5,55.625,25.5,14.125,16,55.75,27,14.75,14,56.7142857142857,24.8571428571429,14.5714285714286,17.2857142857143,0,0,29
2025020193,"NYR","SEA","home",62.5,28,17.25,17.25,62.25,29.75,16.25,16.25,67.2,28.4,16.8,22,60.125,28,14.625,17.5,61.5,30,15,16.5,61.3333333333333,28.3333333333333,14.6666666666667,18.3333333333333,0,0,27
2025020181,"BOS","CAR","away",55.875,25.5,12.5,17.875,52.25,22.75,14.75,14.75,55,22.8,13.4,18.8,57.375,30.375,12.625,14.375,63.5,37,13.75,12.75,54,27,12.5,14.5,0,0,22
2025020182,"WPG","PIT","away",51.25,26.625,12.75,11.875,54.5,28.75,14.5,11.25,44.75,22.25,9.25,13.25,68.25,32.5,17.375,18.375,67.75,34,16.5,17.25,68.6,32.6,16,20,0,0,34
2025020183,"NSH","CGY","away",57.625,27,12.5,18.125,53,25.75,10.5,16.75,66,27.8,16,22.2,57.625,31.875,12.625,13.125,62.75,35,15.25,12.5,57.6,28.8,11.4,17.4,0,0,24
2025020184,"SJS","COL","away",54.5,27.75,10.125,16.625,55,27.5,9.5,18,48.6,24.6,9.4,14.6,54.375,24.875,14,15.5,57.5,24,16.5,17,53,27,12,14,0,1,23
2025020185,"FLA","DAL","away",64.5,27.5,17.5,19.5,67.25,29.75,19.25,18.25,58.2,24.8,15.2,18.2,60.625,26.5,16.375,17.75,67.5,27.5,20.25,19.75,63,28.8333333333333,14.8333333333333,19.3333333333333,0,0,28
2025020186,"BUF","WSH","away",62.25,31.875,14.875,15.5,62.5,33.5,14.25,14.75,63.75,30,16.5,17.25,48.875,23.375,13.625,11.875,56,27.75,15,13.25,47.4285714285714,22.1428571428571,14,11.2857142857143,0,1,24
2025020187,"MTL","OTT","away",53.875,26,13.5,14.375,52.5,25,13.25,14.25,53.8571428571429,25.1428571428571,13.1428571428571,15.5714285714286,55.25,25.375,12.375,17.5,57.25,24.25,12.5,20.5,55.5714285714286,27.1428571428571,11.7142857142857,16.7142857142857,0,0,27
2025020188,"PHI","TOR","away",49.5,23.5,12.5,13.5,50.5,25.25,12,13.25,46.6666666666667,22,12,12.6666666666667,59.25,28.875,11.875,18.5,57.25,27.25,11.5,18.5,57.875,27.875,12.25,17.75,0,0,33
2025020189,"CBJ","STL","away",65.75,31.875,16.375,17.5,69.5,34.75,16.5,18.25,69.8,36,15,18.8,48.25,24.375,11.5,12.375,51.5,23.5,12.5,15.5,47.2857142857143,23.1428571428571,12.1428571428571,12,0,0,35
2025020190,"MIN","VAN","away",65.75,27.875,17.375,20.5,71.75,32.5,18,21.25,59.3333333333333,25.8333333333333,14.6666666666667,18.8333333333333,65,31,16.125,17.875,62,29.75,17,15.25,59,26.4,16.4,16.2,0,0,28
2025020191,"LAK","NJD","away",57.75,28.5,14,15.25,61.25,28.75,17,15.5,54.5,27.625,11.5,15.375,59.25,27.375,12.75,19.125,58,27.75,12.75,17.5,60,24.8,13.6,21.6,0,0,44
2025020192,"EDM","CHI","away",56.25,28,12.625,15.625,61,30.5,13.5,17,55.4285714285714,27.1428571428571,13,15.2857142857143,60.375,28.75,18.25,13.375,58.5,27.25,17.25,14,60.3333333333333,28.1666666666667,18,14.1666666666667,0,0,30
2025020193,"SEA","NYR","away",53.375,24.625,12,16.75,50.75,22.75,12.25,15.75,54.6666666666667,25.5,12,17.1666666666667,56.25,26.875,14.125,15.25,58,28.25,14.25,15.5,55.4,26,12.6,16.8,0,0,13
2025020194,"TBL","UTA","home",62.875,29,17.625,16.25,64.25,31.5,17.75,15,63.8333333333333,27.8333333333333,17.3333333333333,18.6666666666667,55,26.125,12,16.875,56.75,27.25,13,16.5,54.4285714285714,24.7142857142857,13.5714285714286,16.1428571428571,0,0,26
2025020195,"CBJ","NYI","home",64.375,32.125,15.625,16.625,67.75,34.75,14.25,18.75,62.1666666666667,30.1666666666667,15,17,61.125,30.375,13.75,17,55,27,13.5,14.5,56.1666666666667,28,12.8333333333333,15.3333333333333,1,0,22
2025020196,"CGY","PHI","home",65.75,31.625,12.75,21.375,62.75,30.75,12.25,19.75,67.8,31.6,15.8,20.4,55.125,25.625,12.875,16.625,60.75,29.5,13.5,17.75,69,35.3333333333333,16.6666666666667,17,1,1,21
2025020197,"NJD","ANA","home",61.125,28.625,13.375,19.125,58.5,26.75,12.25,19.5,63.8,28.8,15.8,19.2,65.5,32,16.625,16.875,73.5,35.25,19.5,18.75,63.2857142857143,31.8571428571429,16.1428571428571,15.2857142857143,1,0,33
